companyShortName,positionName,education,workYear,coooooooompanyFullName,positionAdvantage,salary,city,linestaion,companySize,financeStage
拉勾网,Web前端开发,本科,3-5年,,技术挑战、美味果盘、运动健身,15k-30k,北京,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄,500-2000人,D轮及以上
vivo,Web前端开发工程师（Base南京）,本科,5-10年,,"高成长,高潜力,高回报",15k-30k,北京,10号线_知春里;10号线_知春路;13号线_大钟寺;13号线_知春路,2000人以上,未融资
洋钱罐,Web前端工程师,本科,1-3年,,"扁平化管理,技术大牛,午餐晚餐,不打卡",15k-30k,北京,6号线_呼家楼;6号线_东大桥;10号线_农业展览馆;10号线_团结湖;10号线_呼家楼;10号线_金台夕照,150-500人,不需要融资
四众互联,web前端工程师,本科,1-3年,,发展平台、七险一金、年终奖,15k-25k,北京,,50-150人,不需要融资
尚德机构,Web前端开发工程师,本科,3-5年,,"十五薪,轻松的环境,扁平化管理,免费学习",20k-35k,北京,14号线东段_来广营;14号线东段_东湖渠,2000人以上,B轮
第三石科技,Web前端开发工程师,本科,3-5年,,良好的技术氛围，扁平化管理，年轻创业团队,15k-30k,北京,,50-150人,B轮
家园网,web前端开发工程师,本科,3-5年,,"股票期权,绩效奖金",15k-25k,北京,,500-2000人,不需要融资
竞技世界,web前端工程师,本科,5-10年,,定期调薪，国内外出游，大牛云集，健身房,20k-30k,北京,13号线_上地,500-2000人,不需要融资
Face++,web前端开发工程师,不限,不限,,大牛多；黑科技 ；人工智能,15k-30k,北京,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄;10号线_知春里,500-2000人,C轮
网利宝,web前端,不限,3-5年,,产品发展快，上升快，加薪快 美女多,15k-30k,北京,,150-500人,B轮
美团点评,WEB 前端开发工程师,本科,3-5年,,"平台好,福利好,技术牛人多,氛围棒",20k-40k,北京,5号线_和平西桥;8号线_安德里北街;8号线_安华桥;8号线_北土城;10号线_北土城;10号线_安贞门,2000人以上,D轮及以上
北京捷越联合,Web前端工程师,大专,3-5年,,六险一金 地铁周边,15k-25k,北京,2号线_东四十条;2号线_朝阳门;5号线_灯市口;5号线_东四;6号线_朝阳门;6号线_东四,2000人以上,不需要融资
TalkingData,Web前端开发工程师,不限,不限,,创新方向；高于同行薪资；东直门便利交通,15k-30k,北京,2号线_东直门;2号线_东四十条;13号线_东直门;机场线_东直门,500-2000人,D轮及以上
